id_voto;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;data_voto;avaliacao_voto_servico
2223;695;Consultar débitos;solicitar-consulta-de-debitos-de-agua-e-esgoto181;empresa-industria-e-comercio;SANESUL;Empresa de Saneamento de Mato Grosso do Sul;2026-01-29 20:26:14.870014+00:00;4
2222;435;Solicitar participação no curso de libras;curso-de-libras191;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-01-29 19:23:07.519550+00:00;4
2221;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-29 18:48:07.183056+00:00;1
2220;1464;Localizar pessoa privada de liberdade;localizar-pessoa-privada-de-liberdade21;seguranca;AGEPEN;Agência Estadual de Administração do Sistema Penitenciário;2026-01-29 17:43:30.360319+00:00;1
2219;1020;IPVA - consulta de débito;ipva-consulta-de-debito54;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-01-29 15:15:09.696618+00:00;1
2218;164;Cadastro do comércio, indústria e serviços (CCIS) - alteração de dados cadastrais;cadastro-do-comercio-industria-e-servicos-ccis-alteracao-de-dados-cadastrais96;empresa-industria-e-comercio;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-01-29 13:35:03.787523+00:00;2
2217;1099;Participar do Programa CNH MS Social;participar-do-programa-cnh-ms-social138;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-01-29 01:27:23.900987+00:00;5
2216;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-01-28 22:30:24.451640+00:00;2
2215;1136;Solicitar Processo Primeira Habilitação (Permissão para Dirigir-PpD);solicitar-processo-primeira-habilitacao-permissao-para-dirigir-ppd42;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-01-28 21:04:46.303292+00:00;5
2214;302;Solicitar inclusão no Programa Mais Social;solicitacao-de-inclusao-no-programa-mais-social118;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-01-28 16:33:46.809284+00:00;3
2213;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-28 15:57:04.512057+00:00;3
2212;1120;Redefinir senha de e-mail SIRIEMA;redefinir-senha-de-e-mail-siriema162;ciencia-e-tecnologia;SEGOV MS;Secretaria de Estado de Governo e Gestão Estratégica de Mato Grosso do Sul;2026-01-28 15:51:19.770930+00:00;1
2211;923;Reclame jucems;reclame-jucems109;comunicacao-e-transparencia;JUCEMS;Junta Comercial do Estado de Mato Grosso do Sul;2026-01-28 12:58:41.191872+00:00;2
2210;967;Documentação fiscal solicitada por terceiro;documentacao-fiscal-solicitada-por-terceiro56;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-01-27 23:03:54.473735+00:00;2
2209;1099;Participar do Programa CNH MS Social;participar-do-programa-cnh-ms-social138;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-01-27 19:53:00.484847+00:00;5
2208;469;Solicitar a verificação de vida escolar e autenticidade de documentos escolares de estudantes do sistema de ensino de Mato Grosso do Sul;verificacao-de-vida-escolar-e-autenticidade-de-documentos-escolares-de-estudantes-do-sistema-de-ensino-de-mato-grosso-do-sul26;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-01-27 16:38:19.127588+00:00;3
2207;729;Solicitar Agendamento de Exame/Reexame Teórico Técnico;solicitacao-de-aplicacao-de-exames-de-habilitacao-teorico-e-pratico143;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-01-27 13:16:06.015939+00:00;1
