titulo_servico;siglaorgao;nome_orgao;categoria;url
Apoiar a educação básica das escolas públicas de Mato Grosso do Sul;FADEB;Fundação da Apoio e Desenvolvimento à Educação Básica;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/apoiar-a-educacao-basica-das-escolas-publicas-de-mato-grosso-do-sul168
Apresentar defesa e/ou recurso em processo administrativo sanitário PAS;SES;Secretaria de Estado de Saúde de Mato Grosso do Sul;Saúde e Cuidado;https://www.ms.gov.br/saude-e-cuidado/processo-administrativo-sanitario3
Apresentar monitoramento de outorga de recursos hídricos;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;Meio Ambiente;https://www.ms.gov.br/meio-ambiente/apresentar-monitoramento-de-outorga-de-recursos-hidricos182
Assessoria de projetos especiais;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/assessoria-de-projetos-especiais28
Assinar Acordo de Cooperação Técnica sobre arborização urbana e rede de energia;AGEMS;Agência Estadual de Regulação de Serviços Públicos de Mato Grosso do Sul;Energia;https://www.ms.gov.br/energia/assinar-acordo-de-cooperacao-tecnica-sobre-arborizacao-urbana-e-rede-de-energia67
Assistência administrativa à coordenação do curso de ciências biológicas;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/assistencia-administrativa-a-coordenacao-do-curso-de-ciencias-biologicas10
Atender a pacientes com hemofilia, outras coagulopatias e anemia falciforme;SES;Secretaria de Estado de Saúde de Mato Grosso do Sul;Saúde e Cuidado;https://www.ms.gov.br/saude-e-cuidado/atender-a-pacientes-com-hemofilia-outras-coagulopatias-e-anemia-falciforme27
Atender, Registrar e Apurar as infrações penais que configurem violência e familiar contra a mulher;PCMS;Polícia Civil de Mato Grosso do Sul;Segurança;https://www.ms.gov.br/seguranca/atender-registrar-e-apurar-as-infracoes-penais-que-configurem-violencia-e-familiar-contra-a-mulher40
Atendimento Educacional Especializado;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/atendimento-educacional-especializado188
Atendimento da equipe de comunicação;UEMS;Universidade Estadual de Mato Grosso do Sul;Comunicação e Transparência;https://www.ms.gov.br/comunicacao-e-transparencia/atendimento-da-equipe-de-comunicacao185
Atestado de inexistência para fins de diferimento do ICMS diferencial de alíquotas e de importação na aquisição de máquinas e equipamentos industriais - Termo de Acordo;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/atestado-de-inexistencia-para-fins-de-diferimento-do-icms-diferencial-de-aliquotas-e-de-importacao-na-aquisicao-de-maquinas-e-equipamentos-industriais-termo-de-acordo8
Atualizar cadastro;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;Energia;https://www.ms.gov.br/energia/atualizacao-cadastral70
Atualizar cadastro de núcleo avícola comercial;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/atualizacao-cadastral-de-nucleo-avicola-comercial166
Atualizar endereço de condutor (CNH/PPD);DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Trânsito e Transportes;https://www.ms.gov.br/transito-e-transportes/atualizar-endereco-de-condutora-cnhppd109
Atualizar endereço do veículo;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Trânsito e Transportes;https://www.ms.gov.br/transito-e-transportes/solicitacao-de-atualizacao-de-endereco-do-condutor117
Autenticar livro digital;JUCEMS;Junta Comercial do Estado de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autenticar-livro-digital30
Autenticidade de validação e veracidade de diploma;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/autenticidade-de-validacao-e-veracidade-de-diploma52
Auto de cientificação (ACT) - prorrogação de prazo para pagamento;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/auto-de-cientificacao-act-prorrogacao-de-prazo-para-pagamento30
Auto de lançamento e de imposição de multa (ALIM) - impugnação;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/auto-de-lancamento-e-de-imposicao-de-multa-alim-impugnacao83
Auto de lançamento e de imposição de multa (ALIM), mod. 1 - solicitação de lavratura;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-1-solicitacao-de-lavratura97
Auto de lançamento e de imposição de multa (ALIM), mod. 2 - solicitação de lavratura referente a TVF e/ou TA - contraditório e ampla defesa;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-2-solicitacao-de-lavratura-referente-a-tvf-eou-ta198
Auto de lançamento e de imposição de multa (ALIM), mod. 2 - solicitação de lavratura referente a TVF e/ou TA - parcelamento de débito fiscal;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-2-solicitacao-de-lavratura-referente-a-tvf-eou-ta-parcelamento-de-debito-fiscal101
Auto de lançamento e de imposição de multa (ALIM), mod. 2 - solicitação de lavratura referente a termo de apreensão (TA), conforme art. 4º da Instrução Normativa/SAT nº 001/2020;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/auto-de-lancamento-e-de-imposicao-de-multa-alim-mod-2-solicitacao-de-lavratura-referente-a-termo-de-apreensao-ta-conforme-art-4o-da-instrucao-normativasat-no-001-de-23-de-janeiro-de-20201
Autorizar cultivos em unidades de pesquisa ou demonstrativa;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/autorizacao-para-cultivos-em-unidades-de-pesquisa-ou-demonstrativa146
Autorização - controle de empresas interdependentes (art. 57-A da Lei nº 1.810/1997) - apenas para contribuintes de Mato Grosso do Sul;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-controle-de-empresas-interdependentes-art-57-a-da-lei-no-18101997166
Autorização - inclusão de franqueadora no regime especial de transportadora conveniada (Anexo XII ao RICMS) - apenas para transportadoras de MS com regime especial de transportadora conveniada;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-inclusao-de-franqueadora-no-regime-especial-de-transportadora-conveniada-anexo-xii-ao-ricms75
Autorização Específica mediante Termo de Acordo - concessão e renovação - distribuidora de medicamentos localizada neste Estado - tratamento tributário do Decreto nº 9.578/1999;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-especifica-distribuidora-de-medicamentos-localizada-neste-estado-assumir-a-responsabilidade-pelo-icms-st-devido-e-adotar-base-de-calculo-do-icms-sem-aplicacao-do-pmc104
Autorização específica - aquisição de milho e soja para uso na ração animal, com diferimento do ICMS;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/autorizacao-especifica-aquisicao-de-milho-e-soja-para-uso-na-racao-animal-com-diferimento-do-icms117
Autorização específica - armazenagem de álcool combustível ou açúcar em outra usina com diferimento do ICMS;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-especifica-armazenagem-de-alcool-combustivel-ou-acucar-em-outra-usina-com-diferimento-do-icms133
Autorização específica - concessão ou renovação do diferimento do EAC previsto no Convênio ICMS nº 15/2023, no cumprimento de obrigações, que dispõe sobre o regime de tributação monofásica do ICMS;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-concessao-ou-renovacao-do-diferimento-do-eac-previsto-no-convenio-icms-no-1523-no-cumprimento-de-obrigacoes-que-dispoe-sobre-o-regime-de-tributacao-monofasica-do-icms71
